Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base,1.51788304147971E-15,3.07046055247895E-16,0.0971649484536089,0,0,0,38.0918109247757,0.998007283384442,-7.07767178198537E-16,2.96384243302059E-15,0.998007283384443,8.11507210601025E-16,1.43441270864657,0,0,0,0,0,0,package://Cylindrical_Robot/meshes/Base.STL,0.96078431372549,0.792156862745098,0,1,0,0,0,0,0,0,package://Cylindrical_Robot/meshes/Base.STL,,Base_0-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,-1.16746889933239E-15,0.00815665838358236,1.12791470725033,0,0,0,45.9361938571609,22.6970338352878,4.44089209850063E-16,-3.74938779646488E-17,22.7125900196918,-0.101633918196419,0.21814087740139,0,0,0,0,0,0,package://Cylindrical_Robot/meshes/Link_1.STL,0,1,0,1,0,0,0,0,0,0,package://Cylindrical_Robot/meshes/Link_1.STL,,Link_1-1,Origin_J1,Axis_J1,J1,continuous,0,0,0,0,0,0,Base,0,0,-1,,,,,,,,,,,,
Cap_1,2.25514051876985E-17,-0.00143637454577911,2.425,0,0,0,1.0935840734641,0.00225562354894147,-4.87890977618477E-19,-5.60363852344969E-19,0.00225787980080188,-8.55000534598758E-19,0.00405784331913331,0,0,0,0,0,0,package://Cylindrical_Robot/meshes/Cap_1.STL,1,0,1,1,0,0,0,0,0,0,package://Cylindrical_Robot/meshes/Cap_1.STL,,Cap-4,Origin_F1,Axis_J2,F1,fixed,0,0,0,0,0,0,Link_1,0,0,0,,,,,,,,,,,,
Link_2,-1.13797860024079E-15,-0.1166666397679,5.13766251764025E-11,0,0,0,3.37499727063957,0.0183593719803702,-6.50521303491303E-19,-6.59824731221494E-19,0.0126562448824345,5.7674549433612E-12,0.0163281168628341,0,0,0,0,0,0,package://Cylindrical_Robot/meshes/Link_2.STL,1,0,0,1,0,0,0,0,0,0,package://Cylindrical_Robot/meshes/Link_2.STL,,Link_2-1,Origin_J2,Axis_J2,J2,prismatic,0,0,0.475,0,0,0,Link_1,0,0,1,0,0,0,0,,,,,,,,
Link_3,0.85149437697372,-0.224121856849528,1.60982338570648E-15,0,0,0,26.8687168146928,0.0697509981348235,0.0227187464895352,-1.15010053899446E-14,10.2875221281938,-8.7730852225903E-18,10.2836069397478,0,0,0,0,0,0,package://Cylindrical_Robot/meshes/Link_3.STL,0,0,0.752941176470588,1,0,0,0,0,0,0,package://Cylindrical_Robot/meshes/Link_3.STL,,Link_3-1,Origin_J3,Axis_J3,J3,prismatic,0,0,0,0,0,0,Link_2,1,0,0,0,0,0,0,,,,,,,,
End_Effector,-0.0249999999999995,-0.198563625454215,4.49640324973188E-15,0,0,0,1.0935840734641,0.0040578433191333,8.67361737988404E-19,-1.64025199478762E-18,0.00225787980080188,1.10281598429243E-18,0.00225562354894146,0,0,0,0,0,0,package://Cylindrical_Robot/meshes/End_Effector.STL,1,0,1,1,0,0,0,0,0,0,package://Cylindrical_Robot/meshes/End_Effector.STL,,Cap-5,Origin_F2,Axis_J3,F2,fixed,1.975,0,0,0,0,0,Link_3,0,0,0,,,,,,,,,,,,
