Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base,2.5706818405234,-3.94946047249663,2.87742454863378,0,0,0,385.500000000001,1178.53282709144,2.0028446493884E-14,6.16522004998815E-15,404.13688959144,-7.63592569764657E-14,775.786562500002,0,0,0,0,0,0,package://Cartesian_Robot/meshes/Base.STL,1,1,0,1,0,0,0,0,0,0,package://Cartesian_Robot/meshes/Base.STL,,Base_0-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,-2.22044604925031E-15,0.263321167883211,0.0750000000000002,0,0,0,102.75,0.571297901459852,-1.76289294775025E-14,-2.70564266815804E-15,284.56203125,5.74642161418218E-17,284.793016651459,0,0,0,0,0,0,package://Cartesian_Robot/meshes/Link_1.STL,0,1,0,1,0,0,0,0,0,0,package://Cartesian_Robot/meshes/Link_1.STL,,Link_1-1,Origin_J1,Axis_J1,J1,prismatic,2.5706818405234,-5.28710486307985,3.90553738910071,1.5707963267949,0,0,Base,0,0,1,0,0,0,0,,,,,,,,
Link_2,0.12499999999985,0.00242718446602019,0.0189320388349534,0,0,0,12.875,0.26254904935275,2.68904390916601E-18,-1.07966052367979E-15,0.308562398867313,0.00059162621359225,0.0993512338187702,0,0,0,0,0,0,package://Cartesian_Robot/meshes/Link_2.STL,1,0,0,1,0,0,0,0,0,0,package://Cartesian_Robot/meshes/Link_2.STL,,Link_2-1,Origin_J2,Axis_J2,J2,prismatic,-2.17867598218295,0.324999999999999,0.0749999999999984,3.14159265358979,0,3.14159265358979,Link_1,1,0,0,0,0,0,0,,,,,,,,
Link_3,0.199999999999964,-1.38987303629096,-0.124999999999946,0,0,0,53.6124336293858,41.9953815671922,-2.91912097157699E-13,3.98691129083209E-16,0.213530289828399,-2.92191849822614E-13,42.0328815671922,0,0,0,0,0,0,package://Cartesian_Robot/meshes/Link_3.STL,0,0,1,1,0,0,0,0,0,0,package://Cartesian_Robot/meshes/Link_3.STL,,Link_3-2,Origin_J3,Axis_J3,J3,prismatic,0,0,0,3.14159265358979,1.5707963267949,0,Link_2,0,1,0,0,0,0,0,,,,,,,,
End_Effector,0,0.00500000000012246,1.1385337117531E-13,0,0,0,0.162433629385637,0.000256081861110283,-4.43721793868471E-22,-4.88036561406277E-20,0.000634456495064134,-3.05913944980143E-22,0.000381081861110278,0,0,0,0,0,0,package://Cartesian_Robot/meshes/End_Effector.STL,1,0.501960784313725,1,1,0,0,0,0,0,0,package://Cartesian_Robot/meshes/End_Effector.STL,,End_Effector-2,Origin_F1,Axis_F1,F1,fixed,0.2,0.152477886930783,-0.124999999999944,0,0,3.14159265358979,Link_3,0,0,0,,,,,,,,,,,,
